Country or Area,Year,USDinMillions
Lithuania,2012,42.55412777
Lithuania,2011,38.83301632
Lithuania,2010,40.22804706
Lithuania,2009,40.99377357
Lithuania,2008,54.34701908
Lithuania,2007,44.69583651
Lithuania,2006,35.35321422
Lithuania,2005,33.41714657
Lithuania,2004,31.1084871
Lithuania,2003,31.59235946
Lithuania,2002,30.75911929
Lithuania,2001,24.625
Lithuania,2000,24.175
Lithuania,1999,29.575
Lithuania,1998,28.375
Lithuania,1997,22.875
Madagascar,2004,0.614546478
Nepal,2007,0.788978067
Nepal,2001,0.373586127
Netherlands,2012,163.177493
Netherlands,2011,173.7667227
Norway,2006,210.1871102
Norway,2005,190.2987971
Norway,2004,185.6546421
Norway,2003,167.9248046
Norway,2002,148.7815513
Poland,2012,327.9552632
Poland,2011,316.2498015
Poland,2010,291.0821477
Poland,2009,279.41039
Poland,2008,417.5393078
Poland,2007,386.4954208
Poland,2006,313.6159665
Poland,2005,275.692967
Poland,2004,215.9861659
Poland,2003,212.0298529
Poland,2002,187.8416026
Poland,2001,171.8410318
Poland,2000,164.7693609
Portugal,2010,52.55930113
Portugal,2009,51.80885465
Portugal,2008,62.54339482
Portugal,2007,50.88844057
Portugal,2006,41.23303264
Portugal,2005,39.23290181
Portugal,2004,38.49186394
Portugal,2003,38.03776679
Portugal,2002,37.47518568
Portugal,2001,35.3062684
Portugal,2000,38.42186658
Portugal,1999,41.87131464
Portugal,1998,48.2768328
Portugal,1997,90.64658688
Portugal,1996,99.90015511
Portugal,1995,103.5189131
Romania,2012,99.30367428
Romania,2011,92.78955244
Romania,2010,97.95777085
Romania,2009,115.9092586
Romania,2008,128.1334467
Romania,2007,127.3577361
Romania,2006,98.6887308
Romania,2005,69.83947243
Romania,2004,40.47852049
Romania,2003,46.67911728
Romania,2002,37.27405755
Slovakia,2009,13.15980744
Slovakia,2008,15.91654736
Slovakia,2007,14.132797
Slovakia,2006,10.16929177
Slovakia,2005,7.866336753
Slovakia,2004,8.184291224
Slovakia,2003,8.973995808
Slovakia,2002,7.94232986
Slovakia,2001,5.314877175
Slovenia,2004,18.22389391
Slovenia,2000,11.31384157
Slovenia,1999,26.20402585
Spain,2012,859.5727778
Spain,2011,952.2416404
Spain,2010,817.1698895
Spain,2009,1044.671719
Spain,2008,1189.439109
Spain,2007,1071.666866
Spain,2006,1006.095744
Spain,2005,945.1325673
Spain,2004,855.5127178
Sweden,2012,104.5410103
Sweden,2011,105.0073873
Sweden,2010,99.14722219
Sweden,2009,170.7355467
Sweden,2008,189.9687698
Sweden,2007,164.3313798
Sweden,2006,200.8503598
Sweden,2005,220.7922517
Sweden,2004,243.9825352
Sweden,2003,239.2934968
Sweden,2002,196.772695
Sweden,2001,163.3244085
Sweden,2000,188.054364
Sweden,1999,209.1394842
Sweden,1998,252.0796519
Sweden,1997,296.2712974
Sweden,1996,311.6632516
Thailand,2008,88.8684082
Thailand,2007,69.34606515
Thailand,2006,64.06475569
Thailand,2005,45.39517875
Thailand,2004,45.3627661
Thailand,2003,41.0127931
Thailand,2002,52.78155497
Thailand,2001,55.77074129
Thailand,2000,56.75636124
Turkey,2012,816.6655819
Turkey,2011,807.1666257
Turkey,2010,809.7345867
Turkey,2009,365.493356
Turkey,2008,567.1054108
Turkey,2007,663.8111019
Turkey,2006,485.2800893
Turkey,2005,410.0230172
United Kingdom,2012,932.374712
United Kingdom,2011,906.071109
United Kingdom,2010,925.5734197
United Kingdom,2009,875.3374948
United Kingdom,2008,1094.126995
United Kingdom,2007,875.6358737
United Kingdom,2006,792.2917459
United Kingdom,2005,847.3334768
United Kingdom,2004,830.6785309
United Kingdom,2003,791.7090155
United Kingdom,2002,746.3767754
United Kingdom,2001,640.7497247
United Kingdom,2000,752.5749669
United Kingdom,1999,893.6071244
United Kingdom,1998,877.90541
United Republic of Tanzania,2009,3.499172762
United Republic of Tanzania,2008,2.897240636
Uruguay,2012,66.7706339
Uruguay,2010,46.32221254
Uruguay,2003,11.42981957
Uruguay,2001,22.33123111
Uruguay,2000,20.53907596
Uruguay,1999,27.24181468
Uruguay,1998,34.42139208
Uruguay,1997,29.22193742
Zimbabwe,2010,1.98894
Zimbabwe,2009,1.98894
